data;
param basiszeit := 
50F	 "00:00:20,26"
100F	 "00:00:44,94"
200F	 "00:01:39,37"
400F	 "00:03:32,25"
1500F	 "00:14:08,06"
100R	 "00:00:48,92"
200R	 "00:01:45,63"
100B	 "00:00:55,61"
200B	 "00:02:00,44"
100S	 "00:00:48,08"
200S	 "00:01:48,56"
200L	 "00:01:49,63"
400L	 "00:03:55,50"
;
end;
